run,seed,x_best,profit_predicted,n_FE_used,time_seconds
1,101,4 6 6 2 5 8 6 5 6 6 4 5,8903.2783920238,500,58.20840359999997
2,102,4 3 4 2 5 8 8 5 4 4 5 14,8952.004378276424,501,53.99895240000001
3,103,4 3 6 4 7 4 7 9 7 5 8 9,8898.228305637462,501,111.57160329999999
4,104,2 4 4 2 6 5 5 13 9 6 5 12,8928.315901473812,500,139.56361250000003
5,105,4 3 7 2 5 8 9 7 7 8 4 8,8972.856957496873,500,218.99318070000004
6,106,4 3 6 2 6 7 6 11 5 6 4 6,8991.802104915445,501,207.50565700000004
7,107,7 3 6 2 6 8 5 11 7 6 6 4,8917.340334960429,500,140.76053919999993
8,108,4 8 4 2 6 4 6 11 9 2 5 7,8854.326563481318,500,206.19795240000008
9,109,4 3 7 2 5 8 4 11 7 7 4 6,8984.851026944742,500,209.3633416
10,110,4 3 6 2 4 8 3 10 8 5 5 10,8989.964813922577,501,131.15109699999994
11,111,4 3 6 2 6 7 7 11 5 7 3 4,8960.385580095983,501,134.64047819999996
12,112,4 3 5 2 6 9 7 9 9 6 5 3,8953.937004185225,501,208.0354895999999
13,113,4 3 4 2 10 5 8 9 7 7 9 14,8991.243378091447,501,245.82411039999988
14,114,2 3 4 2 5 3 3 3 7 7 11 5,8850.522347050275,500,146.17273569999998
15,115,4 3 6 2 6 8 8 10 5 6 11 17,9015.314957570547,501,131.98722859999998
16,116,4 3 6 2 4 6 8 10 8 4 5 14,9026.962472307117,501,159.09357599999976
17,117,4 3 6 2 8 8 6 6 10 2 4 10,8951.057522826499,500,217.12318920000007
18,118,4 3 6 2 6 7 6 4 8 6 5 7,8986.596449077575,500,262.2583798999999
19,119,4 3 6 5 6 7 7 7 9 4 5 7,8910.92248275427,500,66.28312300000016
20,120,4 6 6 5 6 5 4 10 7 4 4 4,8820.820181092076,501,125.9920702000004
21,121,4 3 7 2 3 4 6 11 7 4 4 4,8941.45732001615,501,177.77093539999987
22,122,2 10 5 5 4 7 8 5 4 8 4 7,8730.308090957244,500,126.31880889999957
23,123,5 4 6 2 4 8 5 4 7 5 9 6,8940.101631418762,500,123.54859959999976
24,124,4 3 6 2 8 6 6 11 7 6 5 4,8983.438176449401,500,128.41087880000032
25,125,4 3 6 2 6 4 6 9 8 4 11 8,8995.121214554785,501,152.82356809999965
26,126,4 3 4 4 4 7 7 10 7 10 8 6,8892.93793120647,500,214.59848090000014
27,127,5 9 5 2 4 5 8 11 8 9 9 7,8844.633712926905,501,171.86965060000057
28,128,5 4 5 2 4 8 6 7 5 4 4 5,8922.438578123847,501,144.23789719999968
29,129,4 4 7 2 6 7 8 11 7 6 9 10,9015.581492382405,500,147.98975530000007
30,130,2 6 6 2 3 4 4 9 8 5 9 2,8818.544832216969,500,157.01645400000052
