run,seed,x_best,profit_during_search,profit_real,n_FE_used,time_seconds
1,101,3 5 7 4 5 3 3 4 5 5 3 3,242.4155436210674,239.7448446652176,500,860.3718422999991
2,102,2 4 3 2 7 3 4 5 4 4 3 3,245.46122136712128,241.6258830831896,500,844.7954203999998
3,103,4 5 3 4 3 3 3 3 3 3 3 3,244.90610287430317,242.9358687194957,501,864.3862788000006
4,104,2 4 4 2 3 4 3 3 3 3 2 3,245.94819409191805,243.37016989849806,501,812.6171865999986
5,105,3 4 4 3 3 4 3 3 3 3 4 3,247.58763772772042,243.0259468182489,501,823.8437235000001
6,106,3 4 3 5 4 4 3 3 3 3 3 3,245.84547562646836,241.97573957376673,500,916.8011879000005
7,107,3 3 3 3 4 3 3 4 5 4 3 3,246.23506732992658,242.57759654300128,500,877.1882814
8,108,4 4 4 4 3 6 3 4 3 4 5 4,243.1247545437022,239.61356834530278,500,923.1783964999995
9,109,3 3 4 2 3 3 2 3 2 3 3 4,240.85324356105502,236.8546399261882,501,865.9371343999992
10,110,3 5 4 4 3 8 3 3 3 3 2 3,241.12538628285566,238.80050504498948,501,869.1611287999986
11,111,2 3 3 2 3 3 3 3 3 3 2 3,246.29086361603567,243.4903885566627,500,886.4846670000006
12,112,7 5 3 3 3 2 3 4 3 3 3 3,244.77428040123738,240.9379282700467,500,889.7061546000004
13,113,3 4 3 4 3 4 6 3 3 4 3 3,245.5800127991006,241.0364232901609,501,909.1911346000015
14,114,2 4 3 2 6 5 4 3 5 5 5 3,243.26998377272577,237.8723137782862,500,855.3256785999984
15,115,5 4 2 4 3 3 3 4 4 5 2 10,238.25102842997373,235.00671924252484,501,850.4799891000002
16,116,5 3 3 4 3 4 2 4 4 5 3 2,238.8669052936542,238.23031452710967,500,886.9152033999999
17,117,4 3 3 3 3 3 4 3 3 3 3 3,245.34111002392913,242.35575345934356,500,806.8523587000018
18,118,3 4 3 3 3 6 6 4 5 4 6 2,240.33433343257343,238.03415178278706,501,832.8157457000016
19,119,3 4 3 3 4 5 3 3 6 3 6 5,241.58975886098452,237.62100923028012,501,863.560252299998
20,120,4 4 6 3 6 4 3 5 4 4 3 2,242.7086680535079,238.59161340689712,500,864.9827917000002
21,121,3 5 4 2 4 3 2 4 2 3 2 3,240.41448550890254,237.81853002327
22,122,7 4 3 6 3 5 4 4 3 4 3 3,242.00963783566155,238.93717835944676,500,871.1683564000014
23,123,3 3 4 2 3 4 3 3 3 4 3 4,243.61672812020905,241.0094940472947,500,819.1059447000007
24,124,2 4 3 3 4 4 3 3 3 4 3 3,244.4983546118469,243.85940667555016,501,843.7019508000012
25,125,4 4 3 3 3 4 4 4 3 3 3 3,246.0928321446176,243.46994681889146,500,870.1535610999963
26,126,4 4 4 4 3 2 3 4 3 4 3 2,245.08594198468975,241.56493832560602,501,866.1627961999984
27,127,2 3 3 3 6 3 3 4 3 3 4 3,243.20557449814115,241.67854913614943,500,912.8639879999973
28,128,3 4 4 3 5 3 8 3 5 3 3 3,242.45847875660883,238.664675032708,501,908.2834815000024
29,129,2 3 3 4 3 5 5 3 4 4 4 3,243.65962940294298,239.09206830269764,500,860.4744901999948
30,130,4 4 5 4 5 3 4 4 4 4 4 2,243.00564159643625,239.81676960377663,500,921.4983423999947
