run,seed,x_best,profit_predicted,n_FE_used,time_seconds
1,101,15 10 3 5 22 20 8 24 21 6 15 11,7500.9059948688055,500,50.42501480000101
2,102,12 20 9 17 15 21 5 9 10 15 14 25,7637.4107830144785,500,45.35035400000015
3,103,8 5 5 25 15 12 23 24 9 6 10 21,7310.734950754642,500,140.7359574000002
4,104,4 7 14 8 6 22 12 29 12 18 16 2,7875.054402402197,500,183.31458290000046
5,105,4 10 26 4 14 4 6 4 14 25 12 7,7739.500452043354,500,530.7977955999995
6,106,4 26 13 17 25 17 27 25 24 26 11 7,6417.350871508168,500,119.82434680000006
7,107,4 22 15 7 9 6 7 4 7 11 30 20,8029.391969315609,500,162.6714050999999
8,108,4 3 7 4 20 19 26 4 17 3 10 14,7904.523718798035,500,159.56518900000083
9,109,15 14 15 2 22 20 8 29 4 12 2 9,7597.244837386496,500,144.39079540000057
10,110,4 20 11 10 20 17 27 13 13 3 12 9,7690.269566263484,500,566.1172446
11,111,13 6 9 17 9 4 3 11 8 8 30 7,8082.63297874753,500,88.45978790000117
12,112,10 19 29 3 21 17 3 24 25 18 2 29,6582.647634692348,500,73.18069839999953
13,113,26 3 28 13 4 10 25 11 20 18 16 21,6788.7588450734165,500,94.58146279999892
14,114,5 23 28 10 20 11 2 12 18 5 10 10,7562.19038735708,500,94.13288030000149
15,115,6 20 11 11 19 6 17 14 13 24 15 11,7711.889082931381,500,123.73366220000025
16,116,8 6 29 2 5 22 3 13 11 28 6 27,7012.684252374087,500,141.12856339999962
17,117,12 6 7 21 7 28 4 22 4 4 17 29,7199.8210731624,500,3829.7796959999996
18,118,28 17 3 27 17 18 4 13 27 30 16 13,6654.110361389875,500,88.2241912999998
19,119,26 15 5 20 13 5 3 13 27 3 5 14,7529.055216956139,500,87.48040630000105
20,120,18 9 15 12 8 29 30 25 18 5 7 2,7101.448565229387,500,900.2084575000008
21,121,2 6 7 2 20 10 12 22 7 28 29 12,7418.142648040761,500,943.7036719000025
22,122,5 18 7 5 10 15 14 6 7 21 14 15,8349.903073897065,500,86.84884640000018
23,123,16 9 7 11 20 13 30 18 12 12 10 18,7460.515710751166,500,102.44290199999887
24,124,3 22 13 9 9 7 20 11 8 21 15 7,8257.352845763613,500,86.15185120000024
25,125,7 3 13 2 5 24 14 12 18 13 10 4,8173.75892320217,500,87.06231499999922
26,126,3 4 3 2 21 10 17 4 7 14 24 17,7973.63281184057,500,91.43498080000063
27,127,16 4 5 20 15 4 11 14 19 14 26 4,7507.243518594569,500,86.73195009999836
28,128,15 4 5 2 7 16 23 18 10 3 9 3,8289.545163462868,500,85.68096210000294
29,129,10 7 14 3 28 15 27 3 3 4 23 4,7590.605356485434,500,80.36819800000012
30,130,4 6 13 4 15 26 11 4 29 21 14 2,7685.387896764852,500,83.14235969999936
