run,seed,x_best,profit_during_search,profit_real,n_FE_used,time_seconds
1,101,16 19 3 13 20 11 28 4 10 3 10 3,177.6650759085283,174.32505841652602,500,830.3851916999993
2,102,3 14 12 3 6 12 11 17 10 4 4 6,206.33194480644934,203.21217437402944,500,876.9260193000009
3,103,19 15 18 19 22 15 20 4 13 4 22 12,149.7151758317308,147.26421541533375,500,905.7739849999998
4,104,24 4 16 3 10 16 4 3 3 4 17 4,197.99142223080588,196.84518760739314,500,599.552268200001
5,105,19 12 13 7 15 3 23 4 7 11 27 19,168.59505059555778,163.42516969492513,500,865.0592907999962
6,106,19 20 6 3 16 19 9 24 7 7 28 19,154.27057013209742,151.88123085816343,500,870.3507144000032
7,107,7 11 13 20 18 17 4 11 22 4 23 3,171.5627482631572,167.45892834316086,500,878.5058241000006
8,108,5 15 25 3 22 21 10 16 4 10 3 5,181.36652387351936,178.24767536074518,500,861.6421342999965
9,109,3 5 7 10 7 5 3 4 16 6 23 10,207.7401616855966,205.47709197563506,500,864.8160295999987
10,110,23 5 23 19 9 3 3 12 14 5 12 3,185.61979237433502,183.37490342524666,500,875.2294787999999
11,111,18 25 4 26 23 6 7 4 4 8 11 17,168.20377978724903,168.05260810512456,500,874.9778641000012
12,112,4 15 16 10 14 6 15 8 27 13 22 18,162.36333725459883,157.73324747976451,500,882.5004489999992
13,113,4 6 22 14 15 3 3 16 4 5 4 4,209.14403489800992,205.7126599588509,500,862.2325697999986
14,114,3 15 3 6 13 22 3 17 15 5 2 10,195.0525598468074,193.68338556338884,500,867.7408030000006
15,115,21 5 3 20 3 13 4 5 16 17 23 12,177.78783739053856,175.6537541314002,500,876.365512999997
16,116,23 20 17 9 18 6 3 23 16 4 23 4,165.44936849299572,159.18753480847235,500,850.6464887000038
17,117,3 7 3 4 5 25 3 17 9 13 3 19,200.72580637738068,197.15528713746477,500,854.5675733000026
18,118,17 14 3 8 3 22 8 5 15 5 6 3,200.2182090468333,198.31613125411252,500,857.5000658999998
19,119,24 6 4 18 23 22 4 12 21 16 15 5,158.89244888497217,156.888975705224,500,920.0347211999979
20,120,9 4 4 16 26 15 16 12 11 10 24 3,171.784348672596,169.88555545186603,500,886.2400762999969
21,121,3 4 16 27 4 4 17 7 14 12 8 2,193.03686453338273,190.13610284541122,500,876.3430665000051
22,122,10 6 17 16 9 22 22 4 17 9 24 3,165.37548149453374,164.29161387001895,500,869.4020126999967
23,123,3 4 5 17 4 8 10 20 23 24 3 3,190.98426381284216,188.5168561457381,500,857.0971719000008
24,124,25 4 18 2 3 25 26 4 11 5 18 4,175.0620958969893,171.51099072778183,500,852.5503368999998
25,125,21 5 4 19 23 7 3 5 16 8 3 3,196.10818858859457,192.5013914410357,500,871.1756849000012
26,126,14 4 12 11 13 8 16 5 6 28 9 3,187.06736129944377,184.61245077037023,500,877.3532647000029
27,127,3 23 10 11 9 16 3 3 4 3 15 3,202.75320189602374,199.50272153822274,500,771.1439908000029
28,128,19 26 3 14 6 3 4 11 4 7 9 9,196.18372245637485,194.73319048488645,500,881.2941611999995
29,129,8 21 16 16 3 3 20 28 21 9 19 10,157.77972891895254,153.04625042041198,500,869.6755534999975
30,130,12 4 5 23 14 13 20 5 18 4 3 12,184.8241359364555,181.95394300891593,500,871.8955681999942
